Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Time_taken,Distance_km
27,4.1,Drinks ,motorcycle ,16,3.022210253
26,4.7,Meal ,scooter ,16,3.028385042
21,4.9,Buffet ,motorcycle ,13,1.522135156
23,4.6,Drinks ,scooter ,29,4.67957786
22,4.9,Meal ,motorcycle ,24,3.04394335
31,4.3,Drinks ,motorcycle ,25,2.979932575
34,4.9,Meal ,motorcycle ,25,4.474229607
31,4.9,Buffet ,scooter ,16,3.148590641
29,4.3,Meal ,scooter ,33,6.217562685
20,4.8,Snack ,scooter ,25,4.668568873
30,4.6,Snack ,electric_scooter ,30,3.028450414
35,4.9,Drinks ,scooter ,31,4.549284566
26,4.6,Drinks ,motorcycle ,32,4.679409682
29,4.6,Snack ,motorcycle ,24,4.66211901
34,4.5,Snack ,motorcycle ,28,4.668656329
37,4.2,Buffet ,motorcycle ,30,4.615762974
35,4.8,Buffet ,scooter ,29,4.584197049
20,3.9,Buffet ,motorcycle ,54,8.800207384
24,4.8,Snack ,motorcycle ,10,1.534051587
35,4.7,Buffet ,electric_scooter ,12,1.522121823
29,4.6,Snack ,motorcycle ,14,1.52212223
22,4.9,Meal ,scooter ,16,3.068060687
39,4.6,Drinks ,scooter ,24,4.399930791
35,4.8,Buffet ,electric_scooter ,27,2.982971182
24,4.7,Drinks ,scooter ,16,3.148590641
33,5,Drinks ,scooter ,24,3.062395371
29,4.8,Buffet ,scooter ,14,1.515341358
37,4.8,Meal ,motorcycle ,27,3.022223062
21,4.2,Snack ,motorcycle ,16,3.076645107
39,4.9,Meal ,motorcycle ,25,3.077069908
34,4.3,Meal ,motorcycle ,36,4.533234659
36,4.8,Buffet ,motorcycle ,29,3.032920861
29,4.8,Drinks ,motorcycle ,29,4.549302414
37,4.8,Drinks ,motorcycle ,18,3.107913086
37,4.7,Meal ,motorcycle ,20,3.091349621
39,4.7,Buffet ,motorcycle ,24,2.941028705
31,4.1,Meal ,motorcycle ,33,6.225100671
39,4.1,Meal ,motorcycle ,29,3.148590641
39,4.2,Snack ,scooter ,32,4.662004779
32,4,Buffet ,motorcycle ,46,4.722885901
38,5,Meal ,motorcycle ,32,4.662004779
33,4.3,Drinks ,motorcycle ,31,6.043881415
30,4.7,Snack ,motorcycle ,32,6.217001856
20,4.5,Drinks ,motorcycle ,51,6.044237563
21,4.9,Snack ,scooter ,24,4.679560335
32,4.6,Snack ,motorcycle ,24,4.474316986
37,4.7,Snack ,motorcycle ,26,4.679880922
33,4.7,Buffet ,scooter ,10,1.556207324
27,4.8,Meal ,motorcycle ,10,1.511788785
38,4.7,Drinks ,motorcycle ,29,4.637675972
38,5,Snack ,motorcycle ,25,3.108747506
28,4.9,Buffet ,motorcycle ,27,4.474358765
25,4.2,Buffet ,motorcycle ,29,3.028538156
36,4.7,Drinks ,motorcycle ,25,3.076986446
33,4.8,Meal ,scooter ,28,2.999550132
35,5,Drinks ,scooter ,37,6.217904445
20,4.9,Snack ,motorcycle ,16,3.077076845
28,4.6,Meal ,motorcycle ,11,1.522135185
34,4.8,Snack ,scooter ,17,3.108834265
38,4.8,Buffet ,electric_scooter ,27,3.108573866
33,4.6,Buffet ,motorcycle ,19,3.022043895
27,4.6,Drinks ,scooter ,12,1.521996951
35,4.5,Buffet ,motorcycle ,20,3.108554591
38,4.8,Snack ,scooter ,17,3.077120819
28,4.8,Drinks ,scooter ,16,2.940352937
20,4.9,Buffet ,motorcycle ,27,4.668662883
26,4.4,Buffet ,motorcycle ,22,3.032929199
38,4.2,Meal ,motorcycle ,33,6.224654411
27,4.8,Meal ,scooter ,16,3.032955534
24,4.7,Drinks ,electric_scooter ,13,1.538627826
24,4.8,Meal ,motorcycle ,29,4.532989332
24,4.9,Buffet ,motorcycle ,18,3.04396095
31,4.9,Buffet ,electric_scooter ,30,4.662412535
37,4.9,Meal ,electric_scooter ,19,3.028385042
39,4.9,Buffet ,motorcycle ,19,2.983101525
32,4.8,Meal ,scooter ,20,3.028450414
27,4.4,Meal ,motorcycle ,15,2.982936544
31,4.8,Meal ,motorcycle ,23,4.532987595
29,4.6,Snack ,electric_scooter ,24,4.594265457
30,4.8,Snack ,scooter ,26,3.028766447
24,4.9,Buffet ,scooter ,10,1.534005079
21,4.6,Buffet ,motorcycle ,27,4.601626369
39,5,Buffet ,electric_scooter ,18,3.028766447
35,4.8,Drinks ,motorcycle ,27,3.119703624
29,4.6,Snack ,scooter ,30,4.535178097
29,4.3,Drinks ,motorcycle ,44,4.542636228
26,4.9,Buffet ,motorcycle ,28,4.668790967
22,4.8,Snack ,scooter ,13,1.514210258
39,4.8,Buffet ,scooter ,30,4.474210004
30,4.9,Meal ,motorcycle ,25,3.119619278
38,4.6,Meal ,motorcycle ,46,7.692164227
33,4.2,Meal ,motorcycle ,46,7.456988728
23,4.8,Snack ,scooter ,18,3.148590641
29,4.4,Meal ,motorcycle ,18,3.028733857
24,4.6,Snack ,motorcycle ,20,3.077042886
31,4,Meal ,motorcycle ,34,6.2392233
39,4.4,Snack ,motorcycle ,31,4.549355142
32,4.7,Drinks ,scooter ,30,4.601851356
36,4.7,Snack ,electric_scooter ,29,4.595790717
35,4.5,Drinks ,motorcycle ,27,4.601683729
28,4.8,Meal ,motorcycle ,19,3.077069908
33,4.4,Buffet ,motorcycle ,32,5.966942053
23,4.5,Meal ,electric_scooter ,18,3.062981659
37,4.9,Drinks ,motorcycle ,38,6.217126122
36,4.6,Snack ,scooter ,25,4.566084375
36,4.6,Meal ,electric_scooter ,25,3.044104142
32,4.9,Meal ,motorcycle ,29,3.028385042
25,4.9,Drinks ,scooter ,13,1.534067725
29,4.8,Drinks ,motorcycle ,25,4.474210004
38,4.8,Buffet ,scooter ,16,3.032918406
30,4.2,Buffet ,motorcycle ,44,7.871476182
22,4.7,Meal ,scooter ,24,4.593500269
32,4.5,Drinks ,motorcycle ,28,3.119694586
23,4.5,Drinks ,motorcycle ,27,4.662004779
26,4.8,Meal ,motorcycle ,26,4.66211901
30,4.7,Meal ,motorcycle ,29,4.663473853
29,4.6,Meal ,motorcycle ,32,4.662745588
29,4.6,Drinks ,motorcycle ,27,4.411446866
33,4.9,Meal ,motorcycle ,21,3.067896767
27,4.6,Snack ,scooter ,18,3.02352569
31,4.8,Buffet ,motorcycle ,21,3.112385322
39,4.8,Snack ,motorcycle ,39,4.542626703
34,4.6,Buffet ,scooter ,29,3.108110003
21,4.6,Buffet ,motorcycle ,23,3.148590641
36,4.3,Meal ,scooter ,39,6.249503334
38,4.9,Snack ,motorcycle ,47,7.656890252
32,4.6,Snack ,motorcycle ,24,4.662786138
32,4.8,Buffet ,motorcycle ,30,4.532989332
39,4.5,Drinks ,motorcycle ,19,3.067831711
32,4.6,Drinks ,scooter ,25,2.987841422
29,4.7,Meal ,motorcycle ,39,6.217094763
31,4.8,Buffet ,scooter ,11,1.528108112
36,4.6,Meal ,motorcycle ,28,4.662344747
24,4.9,Meal ,scooter ,16,2.979904633
37,4.8,Drinks ,scooter ,18,2.999598495
31,4.9,Meal ,electric_scooter ,21,3.119729469
29,4.9,Snack ,motorcycle ,26,4.662344747
35,4.7,Buffet ,scooter ,18,2.982832869
26,4,Buffet ,motorcycle ,33,4.549284566
31,4.7,Buffet ,scooter ,26,2.987980756
24,4.5,Drinks ,motorcycle ,11,1.553955407
39,4.8,Snack ,motorcycle ,34,4.549322953
23,4.1,Drinks ,motorcycle ,23,3.028538156
29,4.6,Snack ,motorcycle ,28,4.566035575
38,4.2,Meal ,motorcycle ,31,5.975451526
24,4.1,Buffet ,motorcycle ,26,3.022288873
37,4.8,Drinks ,scooter ,32,5.96549618
31,4.7,Drinks ,scooter ,30,3.148590641
37,4.8,Buffet ,motorcycle ,29,2.983088407
25,4.8,Meal ,motorcycle ,26,4.543024394
29,4.6,Drinks ,scooter ,26,3.063984674
27,5,Buffet ,motorcycle ,33,6.087951606
31,4.7,Drinks ,motorcycle ,35,6.182358345
22,4.2,Snack ,motorcycle ,22,3.02846878
30,4.7,Meal ,motorcycle ,27,2.933718005
37,4.9,Snack ,scooter ,39,7.661082762
38,4.9,Drinks ,motorcycle ,17,3.03087512
35,4.6,Buffet ,motorcycle ,32,4.662872593
30,4.2,Buffet ,motorcycle ,33,4.566261978
25,4.2,Drinks ,motorcycle ,43,6.23913426
27,4.8,Meal ,motorcycle ,29,4.566377678
29,4.6,Snack ,motorcycle ,14,1.533981282
20,4.8,Meal ,motorcycle ,26,4.722885901
38,4.9,Meal ,scooter ,34,4.53468544
35,5,Buffet ,scooter ,17,3.076865206
37,4.7,Snack ,scooter ,19,3.148590641
29,4.5,Meal ,electric_scooter ,16,3.062395371
29,5,Snack ,motorcycle ,14,1.538585704
30,4.7,Meal ,scooter ,20,3.108964171
35,4.5,Meal ,scooter ,28,4.566333312
31,4.9,Drinks ,motorcycle ,24,3.032920861
20,4.6,Buffet ,motorcycle ,23,3.112693778
21,4.3,Meal ,motorcycle ,33,5.97591782
37,5,Buffet ,motorcycle ,34,4.663411867
29,4.6,Buffet ,bicycle ,13,1.491461891
24,4.8,Snack ,scooter ,14,1.492307905
33,4.6,Snack ,scooter ,18,3.068092972
21,4.6,Buffet ,scooter ,11,1.52212223
39,5,Buffet ,electric_scooter ,39,7.692390403
31,4.2,Buffet ,motorcycle ,24,4.474316986
22,3.5,Buffet ,motorcycle ,41,4.533361866
36,4.5,Snack ,scooter ,24,4.499313754
28,4.8,Snack ,motorcycle ,26,4.662344747
28,4.9,Buffet ,motorcycle ,15,1.521996951
34,5,Snack ,motorcycle ,38,6.23913426
36,5,Buffet ,motorcycle ,49,6.13573986
31,4.7,Buffet ,scooter ,21,3.108608356
29,4.7,Snack ,scooter ,25,3.062377377
36,4.9,Buffet ,scooter ,30,4.662028536
34,4.6,Meal ,motorcycle ,25,2.982837741
30,4.6,Drinks ,scooter ,22,3.108138816
23,4.5,Drinks ,motorcycle ,22,3.119729469
29,4.6,Snack ,motorcycle ,36,4.474033743
20,4.2,Snack ,motorcycle ,29,3.112457969
33,4.9,Buffet ,scooter ,12,1.514386348
30,4.9,Buffet ,scooter ,16,3.107913086
32,4.7,Drinks ,motorcycle ,25,4.533256394
28,4.3,Meal ,motorcycle ,50,7.798887397
33,4.7,Snack ,motorcycle ,33,4.474368951
31,5,Drinks ,motorcycle ,27,4.566084375
38,4,Drinks ,motorcycle ,46,4.661823528
25,4.9,Drinks ,scooter ,19,3.108608356
31,4.8,Buffet ,motorcycle ,33,4.474229607
34,4.7,Snack ,motorcycle ,29,4.615636542
39,4.1,Meal ,motorcycle ,33,6.08770026
22,4.9,Meal ,motorcycle ,17,3.044073051
23,4.8,Drinks ,motorcycle ,28,3.108569947
25,4.9,Buffet ,scooter ,28,4.662564689
29,4.4,Meal ,motorcycle ,38,6.29718109
28,4.8,Meal ,electric_scooter ,23,3.108623397
38,4.8,Meal ,motorcycle ,20,2.982832869
24,4.6,Meal ,scooter ,34,6.088253538
33,4.1,Drinks ,motorcycle ,35,4.662162247
29,4.6,Drinks ,scooter ,15,1.556247787
34,4.6,Drinks ,electric_scooter ,18,3.062830119
37,4.6,Drinks ,scooter ,15,1.574295332
34,4.3,Buffet ,motorcycle ,30,3.044270065
30,4.7,Snack ,motorcycle ,20,3.067896767
38,4.9,Meal ,scooter ,15,1.538440238
29,4.6,Drinks ,motorcycle ,15,1.538563708
27,5,Meal ,scooter ,16,3.028734743
36,4.7,Snack ,scooter ,27,3.032834237
32,4.4,Meal ,scooter ,33,4.66283753
22,4.7,Snack ,electric_scooter ,15,2.933462666
31,5,Snack ,motorcycle ,25,4.543006277
29,4.6,Buffet ,bicycle ,47,6.29718109
25,4.2,Snack ,motorcycle ,25,3.112541393
39,4.8,Buffet ,motorcycle ,27,2.982834684
20,4.7,Meal ,scooter ,19,3.056163806
28,4.8,Buffet ,motorcycle ,25,3.044094912
36,4,Meal ,motorcycle ,33,6.043879099
20,4.1,Buffet ,motorcycle ,16,3.077231225
39,4.7,Snack ,motorcycle ,39,5.965694558
26,4.4,Buffet ,motorcycle ,40,6.124615268
27,4.9,Drinks ,motorcycle ,12,1.531010863
38,4.8,Buffet ,motorcycle ,23,4.594486248
33,4.9,Snack ,scooter ,29,4.662200542
36,4.1,Drinks ,motorcycle ,38,6.065663653
26,4.5,Buffet ,scooter ,11,1.511131186
24,4.9,Drinks ,motorcycle ,21,3.108138816
21,4.5,Snack ,motorcycle ,52,6.056733616
32,4.5,Buffet ,motorcycle ,28,4.595911784
32,4.2,Snack ,scooter ,32,6.056535053
29,4.6,Snack ,electric_scooter ,37,4.615237407
29,4.5,Meal ,motorcycle ,43,5.966033769
22,4.3,Snack ,motorcycle ,42,4.615595436
25,4.6,Meal ,scooter ,20,3.028721782
39,4.4,Drinks ,scooter ,34,6.29718109
29,4.6,Meal ,motorcycle ,41,6.088253538
20,4.6,Buffet ,motorcycle ,26,4.668534408
35,4.6,Snack ,motorcycle ,25,3.021790765
34,4.1,Snack ,scooter ,38,7.456723739
33,5,Buffet ,motorcycle ,34,4.542684756
35,4.6,Buffet ,motorcycle ,32,4.662866815
35,4.7,Snack ,motorcycle ,35,4.722885901
35,4.7,Snack ,motorcycle ,41,4.601683729
29,4.9,Meal ,scooter ,28,4.66864342
37,4.6,Buffet ,motorcycle ,36,5.965968902
35,4,Drinks ,motorcycle ,37,5.965261131
30,4.6,Buffet ,motorcycle ,39,4.566084375
22,4.6,Snack ,motorcycle ,16,3.067859963
37,4.6,Drinks ,scooter ,19,2.982837741
36,4.5,Drinks ,scooter ,30,3.119631583
37,4.2,Drinks ,motorcycle ,31,6.087730183
21,4.7,Buffet ,motorcycle ,14,1.515341358
27,4.8,Drinks ,scooter ,27,4.56603773
25,4.6,Snack ,motorcycle ,18,3.022043895
30,4.7,Drinks ,scooter ,29,4.584184646
22,4.7,Drinks ,scooter ,25,3.044073051
22,4.8,Buffet ,motorcycle ,20,3.077069908
30,5,Meal ,electric_scooter ,28,4.637153281
37,5,Meal ,motorcycle ,40,6.153507832
36,4.8,Drinks ,motorcycle ,31,5.965431433
29,4.6,Buffet ,electric_scooter ,12,1.499827572
30,4.9,Drinks ,scooter ,28,3.0216076
32,4.2,Meal ,motorcycle ,35,4.545407451
20,4.8,Buffet ,scooter ,12,1.499831254
33,4.3,Buffet ,motorcycle ,27,3.03291599
25,4.6,Snack ,scooter ,26,4.637699894
32,5,Buffet ,electric_scooter ,25,3.119744584
22,4.6,Meal ,motorcycle ,29,3.108169145
38,4.4,Drinks ,motorcycle ,29,2.983628159
34,4.6,Meal ,motorcycle ,32,6.153853183
25,4.6,Buffet ,scooter ,25,4.67957786
29,4.6,Snack ,motorcycle ,28,4.474613137
20,5,Buffet ,motorcycle ,14,1.528105378
34,4.2,Drinks ,motorcycle ,37,6.216987154
24,5,Buffet ,motorcycle ,17,3.148590641
27,4,Buffet ,motorcycle ,24,3.067859963
31,4.6,Meal ,scooter ,26,3.108592612
31,4.6,Drinks ,scooter ,30,3.076865206
38,4.8,Drinks ,electric_scooter ,14,1.574295332
20,4.9,Meal ,motorcycle ,20,3.119713778
34,4.7,Snack ,scooter ,26,3.091347776
35,4.2,Meal ,motorcycle ,39,6.112135836
30,4.7,Meal ,scooter ,16,3.062351252
28,4.9,Meal ,motorcycle ,15,1.554309655
38,4.7,Drinks ,scooter ,26,3.076834484
28,4.7,Drinks ,scooter ,18,2.983628159
30,4.8,Meal ,scooter ,16,3.11961262
27,4.5,Snack ,scooter ,23,4.545684985
34,5,Meal ,electric_scooter ,15,1.574295332
22,4.1,Buffet ,motorcycle ,31,6.135284632
26,4.7,Drinks ,scooter ,15,1.554292537
37,5,Buffet ,motorcycle ,32,6.060773404
31,4.2,Snack ,motorcycle ,34,6.056535053
29,4.4,Buffet ,motorcycle ,44,6.135951334
25,4.5,Meal ,scooter ,17,3.067070567
22,4.6,Snack ,electric_scooter ,14,1.556292632
27,4.5,Snack ,motorcycle ,15,1.556240893
32,4.8,Drinks ,electric_scooter ,28,4.679417655
24,4.7,Drinks ,scooter ,28,4.549358118
34,4.5,Meal ,electric_scooter ,23,3.030507249
37,4.7,Drinks ,motorcycle ,18,3.077103829
35,4.7,Buffet ,motorcycle ,33,6.29718109
28,4.7,Snack ,motorcycle ,24,4.679560335
30,4.9,Snack ,motorcycle ,27,3.063361163
37,4.3,Drinks ,scooter ,36,6.224490678
28,5,Drinks ,motorcycle ,21,2.982865233
23,4.7,Buffet ,motorcycle ,25,4.592900737
26,4.8,Buffet ,scooter ,22,3.028542241
30,4.9,Buffet ,scooter ,30,4.615419315
24,4.7,Buffet ,motorcycle ,20,3.148590641
32,4.2,Buffet ,motorcycle ,24,3.108260438
33,5,Snack ,motorcycle ,35,6.135765166
28,4,Drinks ,motorcycle ,34,6.056872421
27,4.6,Buffet ,motorcycle ,25,4.722885901
37,4.5,Drinks ,motorcycle ,28,3.148590641
21,4.8,Snack ,scooter ,21,3.108281855
34,4.6,Drinks ,scooter ,24,4.722885901
28,4.5,Snack ,scooter ,28,4.566074291
33,4.6,Buffet ,motorcycle ,26,4.61578658
35,4.4,Snack ,electric_scooter ,39,6.060441982
37,5,Buffet ,motorcycle ,32,4.595911784
39,4.1,Drinks ,motorcycle ,31,4.543024394
38,4.8,Meal ,motorcycle ,31,5.968881738
29,4.6,Buffet ,motorcycle ,20,2.9828783
33,4,Meal ,motorcycle ,31,6.056880595
21,4.1,Drinks ,motorcycle ,26,2.983088407
31,4.6,Drinks ,motorcycle ,34,6.135669909
38,4.5,Drinks ,motorcycle ,22,3.062870626
23,4.1,Meal ,motorcycle ,22,3.108169145
29,4.6,Drinks ,electric_scooter ,19,3.148590641
27,5,Snack ,motorcycle ,25,3.112693778
21,4.8,Drinks ,motorcycle ,27,4.543006277
29,4.6,Meal ,scooter ,22,3.068110012
30,4.2,Drinks ,motorcycle ,32,4.6367054
21,4.6,Drinks ,scooter ,11,1.554040188
30,4.8,Snack ,scooter ,24,3.119618007
25,4.7,Drinks ,motorcycle ,12,1.491823199
34,4.7,Meal ,motorcycle ,48,9.085510996
25,4.9,Meal ,scooter ,18,3.108612206
25,4.5,Buffet ,motorcycle ,30,4.601089045
22,4.6,Drinks ,motorcycle ,29,4.61557052
30,4.9,Meal ,scooter ,15,2.9828783
25,4.1,Drinks ,motorcycle ,18,3.109012898
34,4.7,Buffet ,motorcycle ,27,3.030322261
35,4.4,Snack ,motorcycle ,32,6.058769083
31,4.7,Buffet ,scooter ,28,4.662079743
31,4,Meal ,motorcycle ,30,3.108964171
24,4.4,Drinks ,motorcycle ,26,3.112457969
38,5,Buffet ,motorcycle ,29,3.108848712
34,4.7,Meal ,motorcycle ,32,6.182767213
24,4.6,Buffet ,motorcycle ,15,2.982964393
25,4.6,Drinks ,scooter ,14,1.559829616
32,4.8,Meal ,scooter ,19,3.108569947
31,4.5,Buffet ,scooter ,16,3.030507249
29,4.7,Snack ,motorcycle ,14,1.538468493
30,4.9,Drinks ,motorcycle ,20,3.076986446
29,4.4,Buffet ,motorcycle ,43,6.088016686
24,4.8,Buffet ,motorcycle ,19,3.148590641
25,4.1,Drinks ,motorcycle ,28,3.028721782
30,4.8,Buffet ,scooter ,28,4.543024394
39,5,Drinks ,scooter ,15,1.538550918
34,4.8,Snack ,electric_scooter ,33,4.600541734
28,4.8,Drinks ,electric_scooter ,16,3.028668789
25,4.9,Meal ,scooter ,12,1.522076009
32,4,Meal ,motorcycle ,49,7.772182699
30,4.5,Buffet ,motorcycle ,26,3.108305614
39,5,Buffet ,motorcycle ,32,6.135504887
37,4.7,Snack ,motorcycle ,25,4.60189505
31,4.7,Buffet ,motorcycle ,16,3.119663759
27,4.9,Drinks ,scooter ,15,1.51126668
29,4.7,Meal ,motorcycle ,28,4.686787603
33,4,Buffet ,motorcycle ,34,4.662808539
26,4.6,Meal ,electric_scooter ,29,4.474033743
35,4.7,Drinks ,scooter ,28,4.474358765
30,4.6,Snack ,motorcycle ,26,4.475294249
25,4.6,Buffet ,scooter ,26,3.10858884
28,4.7,Snack ,electric_scooter ,29,3.108810967
20,5,Snack ,motorcycle ,25,4.722885901
37,4.4,Drinks ,motorcycle ,31,6.057183922
26,4.7,Buffet ,motorcycle ,27,4.593119762
22,4.6,Buffet ,scooter ,15,1.51179784
27,4.7,Buffet ,motorcycle ,22,3.119703624
37,4.2,Buffet ,scooter ,31,4.54932157
27,4.2,Snack ,motorcycle ,28,3.022208574
34,4.7,Drinks ,scooter ,39,7.581913886
27,4.7,Meal ,scooter ,14,1.511067296
29,4.6,Drinks ,scooter ,29,4.474627889
26,4.7,Snack ,motorcycle ,20,3.112385322
30,4.9,Snack ,motorcycle ,35,6.22489841
23,5,Drinks ,motorcycle ,24,4.615450257
32,4.9,Meal ,motorcycle ,33,4.722885901
29,4.6,Meal ,motorcycle ,25,3.148590641
34,4.4,Meal ,motorcycle ,25,3.112693778
27,4.9,Snack ,motorcycle ,21,3.030527315
34,4.3,Buffet ,motorcycle ,31,6.0468003
27,4.8,Buffet ,scooter ,17,2.984557512
37,4.6,Drinks ,motorcycle ,49,6.224799818
32,4.5,Meal ,motorcycle ,24,4.594240316
37,4.8,Snack ,electric_scooter ,19,3.112507227
26,4.1,Snack ,scooter ,32,4.542723342
31,4,Buffet ,motorcycle ,39,7.780802794
26,4.7,Meal ,motorcycle ,23,3.043976402
22,4,Drinks ,motorcycle ,26,3.119744584
21,4.9,Drinks ,motorcycle ,18,3.148590641
31,4.4,Drinks ,motorcycle ,29,3.062351252
20,4.3,Drinks ,motorcycle ,52,6.225042199
25,4.4,Meal ,motorcycle ,27,4.601692524
21,4.6,Drinks ,scooter ,25,4.474316986
29,4.6,Buffet ,electric_scooter ,32,4.565843137
36,4.7,Meal ,motorcycle ,21,3.044071615
30,4.4,Meal ,scooter ,33,4.602075716
21,4.6,Meal ,scooter ,17,3.032920861
24,4.4,Meal ,motorcycle ,18,3.108281812
38,4.7,Buffet ,scooter ,26,4.543006277
23,4.9,Drinks ,scooter ,15,1.554300212
31,4.7,Snack ,electric_scooter ,24,2.987743911
22,4.7,Buffet ,scooter ,25,4.549284566
20,4.9,Meal ,motorcycle ,16,3.112693778
25,4.8,Meal ,scooter ,21,3.119618007
32,4.6,Snack ,scooter ,38,6.153650532
30,4.5,Meal ,scooter ,24,3.119631583
21,4.3,Snack ,motorcycle ,38,4.533237177
39,5,Drinks ,motorcycle ,23,4.592495309
32,4.8,Snack ,motorcycle ,26,4.662079743
24,4.7,Drinks ,motorcycle ,34,6.217500283
28,4.5,Buffet ,motorcycle ,29,3.109012898
35,4.9,Buffet ,motorcycle ,33,6.29718109
39,4.8,Drinks ,motorcycle ,29,3.044104142
27,4,Buffet ,motorcycle ,16,3.11240829
33,4,Drinks ,electric_scooter ,38,5.998947457
22,4.6,Meal ,motorcycle ,28,4.474210004
33,4.7,Drinks ,motorcycle ,24,2.933624887
37,4.9,Snack ,motorcycle ,20,2.999550681
29,4.5,Drinks ,scooter ,17,3.067941148
29,4.6,Drinks ,motorcycle ,22,3.107880083
20,4.6,Snack ,motorcycle ,19,3.10856952
33,4.7,Drinks ,scooter ,29,3.067767914
38,4.1,Drinks ,motorcycle ,25,4.5429439
37,4.7,Snack ,scooter ,21,3.119779022
29,4.4,Meal ,motorcycle ,21,3.148590641
38,4.6,Meal ,scooter ,33,6.123824099
37,5,Buffet ,motorcycle ,36,4.533045436
37,4.2,Meal ,motorcycle ,34,6.044211935
31,4.6,Meal ,motorcycle ,29,3.11961262
37,4,Drinks ,motorcycle ,32,4.542926772
24,4.9,Drinks ,electric_scooter ,16,3.032920861
20,4.5,Buffet ,motorcycle ,17,3.112482602
33,4,Meal ,motorcycle ,32,6.06563143
35,4.9,Snack ,scooter ,26,4.410616334
31,4,Snack ,motorcycle ,30,4.566377678
28,4.8,Meal ,scooter ,29,4.601626369
25,4.4,Buffet ,motorcycle ,24,3.067837573
24,4.7,Drinks ,motorcycle ,28,4.686787603
27,4.8,Snack ,motorcycle ,19,3.108407013
36,4.8,Meal ,motorcycle ,19,3.119703624
38,4.8,Snack ,motorcycle ,28,3.108573866
